card_id,min_amount,min_amount_source,category_id,group_name,benefit_type,rate,fixed_amount,unit_basis,raw_text
692,500000,CARD_LEVEL,21,온라인쇼핑,UNCLASSIFIED,,,,온라인 쇼핑몰 건당 2천원 결제일 할인
693,400000,CARD_LEVEL,25,정비,UNCLASSIFIED,,,,"스피드메이트/오토오아시스/현대 블루핸즈/기아 오토큐
연 최대 4만원 결제일 할인"
693,400000,CARD_LEVEL,18,카페,UNCLASSIFIED,,,,전국 모든 커피전문점 월 최대 2천원 결제일 할인
695,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,Mastercard World 서비스
697,400000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,"[선택형1] 주유소, 대형할인점, 인터넷쇼핑몰 포인트리 적립"
697,400000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,"[선택형2] SK, GS칼텍스 주유소 리터당 130점 포인트리 적립"
697,400000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,Biz Basic 서비스
700,500000,CARD_LEVEL,33,무이자할부,UNCLASSIFIED,,,,무이자할부 서비스
700,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,"VISA 플래티넘 / MasterCard 플래티넘 서비스 제공
VISA Young Premium 서비스 제공"
701,500000,CARD_LEVEL,33,무이자할부,UNCLASSIFIED,,,,무이자할부 서비스
701,500000,CARD_LEVEL,16,프리미엄,UNCLASSIFIED,,,,"VISA 플래티넘 / MasterCard 플래티넘 서비스 제공
VISA Young Premium 서비스 제공"
702,500000,CARD_LEVEL,33,무이자할부,UNCLASSIFIED,,,,무이자할부 서비스
702,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,"VISA 플래티넘 / MasterCard 플래티넘 서비스 제공
VISA Young Premium 서비스 제공"
702,500000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,현대카드 플래티넘서비스
703,500000,CARD_LEVEL,33,무이자할부,UNCLASSIFIED,,,,무이자할부 서비스
703,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,"VISA 플래티넘 / MasterCard 플래티넘 서비스 제공
VISA Young Premium 서비스 제공"
703,500000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,현대카드 플래티넘서비스
704,500000,CARD_LEVEL,33,무이자할부,UNCLASSIFIED,,,,무이자할부 서비스
704,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,"VISA 플래티넘 / MasterCard 플래티넘 서비스 제공
VISA Young Premium 서비스 제공"
704,500000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,현대카드 플래티넘서비스
705,500000,CARD_LEVEL,33,무이자할부,UNCLASSIFIED,,,,무이자할부 서비스
705,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,"VISA 플래티넘 / MasterCard 플래티넘 서비스 제공
VISA Young Premium 서비스 제공"
705,500000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,현대카드 플래티넘서비스
707,750000,CARD_LEVEL,23,바우처,UNCLASSIFIED,,,,큰 금액 이용할 때 6만원 Flex Voucher까지
712,300000,CARD_LEVEL,4,금융,UNCLASSIFIED,,,,신한카드 국민행복 금융서비스
713,300000,CARD_LEVEL,4,금융,UNCLASSIFIED,,,,신한카드 국민행복 금융서비스
717,0,CARD_LEVEL,23,바우처,UNCLASSIFIED,,,,"프리미엄 기프트 5만원 상당 제공(연 1회, 택 1)"
717,0,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,개인사업자 Win-Tax 서비스
718,0,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,"임신, 출산, 육아 등 국가가 지원하는 바우처를 해당 카드로 이용 가능,
신세계백화점 제휴 서비스"
721,300000,CARD_LEVEL,26,해외,UNCLASSIFIED,,,,해외가맹점(해외직구 포함) 이용금액 청구할인
721,300000,CARD_LEVEL,29,여행/숙박,UNCLASSIFIED,,,,프리미엄 투어 서비스
722,300000,CARD_LEVEL,26,해외,UNCLASSIFIED,,,,해외가맹점(해외직구 포함) 이용금액 캐시백
724,0,CARD_LEVEL,23,바우처,UNCLASSIFIED,,,,"[공통 제공 혜택]
트래블·호텔·쇼핑 영역별 최대 4매, 총 60만원까지 연 1회 선택 가능"
726,500000,CARD_LEVEL,5,통신,UNCLASSIFIED,,,,알뜰폰 통신료 자동이체 최대 1만 5천원 할인 서비스
726,500000,CARD_LEVEL,16,프리미엄,UNCLASSIFIED,,,,"티타늄 전용 서비스(공항/호텔 발레바킹, 공항 라운지 등)"
727,300000,CARD_LEVEL,5,통신,UNCLASSIFIED,,,,알뜰폰 통신료 자동이체 할인 서비스
736,0,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,특수 소재 플레이트(Special Plate) 제공
739,100000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,"군마트(P.X) 및 GS25 해군마트 환급할인
군 KT공중전화 할인"
739,100000,CARD_LEVEL,1,쇼핑,UNCLASSIFIED,,,,GS리테일 팝서비스
740,500000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,플레이트
741,500000,CARD_LEVEL,16,프리미엄,UNCLASSIFIED,,,,현대카드 플래티넘서비스
741,500000,CARD_LEVEL,16,프리미엄,UNCLASSIFIED,,,,VISA/MasterCard 플래티넘서비스
741,500000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,플레이트
746,250000,CARD_LEVEL,21,온라인쇼핑,UNCLASSIFIED,,,,국내 온라인 쇼핑 최대 5천원 캐시백
747,300000,CARD_LEVEL,5,통신,UNCLASSIFIED,,,,Liiv M 통신료 자동이체 최대 1만 7천원 할인
750,250000,CARD_LEVEL,5,통신,UNCLASSIFIED,,,,휴대폰 요금 자동이체 3천원 캐쉬백
754,300000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,신세계백화점 제휴 서비스
755,300000,CARD_LEVEL,18,카페,UNCLASSIFIED,,,,"스타벅스, 엔제리너스 1천원 캐시백"
755,300000,CARD_LEVEL,10,영화,UNCLASSIFIED,,,,"롯데시네마, CGV 2천원 캐시백"
755,300000,CARD_LEVEL,19,편의점,UNCLASSIFIED,,,,"세븐일레븐, GS25, CU 1천원 캐시백"
755,300000,CARD_LEVEL,5,통신,UNCLASSIFIED,,,,"SKT, KT, LG U+ 2천원 캐시백"
760,50000,CARD_LEVEL,27,교통,UNCLASSIFIED,,,,티머니 서비스 소개
761,500000,CARD_LEVEL,14,생활,UNCLASSIFIED,,,,"주유, 전기차, 커피전문점 할인 서비스"
761,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,MasterCard Platinum 서비스
763,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,"VISA Signature 서비스
MasterCard World 서비스"
764,0,CARD_LEVEL,5,통신,UNCLASSIFIED,,,,"이동통신요금 카카오페이포인트 3,000P 적립"
764,0,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,플레이트 디자인 선택가능
768,400000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,기부포인트 적립 서비스
769,300000,INLINE,10,영화,UNCLASSIFIED,,,,CGV/메가박스 온라인 영화 예매 청구할인 (전월실적 30만원 이상)
769,300000,INLINE,11,테마파크,UNCLASSIFIED,,,,롯데월드/에버랜드/캐리비안베이 현장할인 (전월실적 30만원 이상)
774,200000,CARD_LEVEL,1,쇼핑,UNCLASSIFIED,,,,"롯데백화점, 면세점, 롯데ON, 롯데마트 할인"
791,0,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,VISA 브랜드 플래티넘서비스 제공
816,0,CARD_LEVEL,11,테마파크,UNCLASSIFIED,,,,전국 주요놀이공원 할인
816,0,CARD_LEVEL,4,금융,UNCLASSIFIED,,,,은행 금융서비스 제공
853,0,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,VISA 플래티넘서비스
859,0,CARD_LEVEL,3,주유,UNCLASSIFIED,,,,경차 유류세 환급 대상자 주유 및 충전(LPG) 시 유류세 환급
859,0,CARD_LEVEL,4,금융,UNCLASSIFIED,,,,현금카드 기능 (KEB하나은행)
881,300000,CARD_LEVEL,23,바우처,UNCLASSIFIED,,,,모바일쿠폰 서비스
889,400000,CARD_LEVEL,14,생활,UNCLASSIFIED,,,,(주택임대료형) 주택임대료 자동이체 신청 시 최대 1만 5천원 할인
889,400000,CARD_LEVEL,5,통신,UNCLASSIFIED,,,,"(생활형) 통신, 인터넷, 보안업체 자동이체 시 결제일 할인서비스 제공"
889,400000,CARD_LEVEL,4,금융,UNCLASSIFIED,,,,(기본 제공) 신한은행 우대 서비스
890,500000,CARD_LEVEL,23,바우처,UNCLASSIFIED,,,,스페셜기프트 - 매년 2만원 캐시백 지급
