issuer_name_raw,card_name,source_url
IBK카드,자연드림 IBK카드,https://www.card-gorilla.com/card/detail/879
IBK카드,skylife Ultra IBK카드,https://www.card-gorilla.com/card/detail/920
용인시민카드,용인시민카드(신용),https://www.card-gorilla.com/card/detail/931
플래티늄카드,여행스케치 아시아나클럽 플래티늄카드,https://www.card-gorilla.com/card/detail/948
st카드,1st카드 (포인트 적립형),https://www.card-gorilla.com/card/detail/950
Oil카드,부자되세요 The Oil카드,https://www.card-gorilla.com/card/detail/984
체크카드,카카오페이 체크카드,https://www.card-gorilla.com/card/detail/1039
UNKNOWN,Real? Real! 2 카드,https://www.card-gorilla.com/card/detail/1061
기쁨카드,이사배 카드,https://www.card-gorilla.com/card/detail/1170
신용카드,BNK 프렌즈 신용카드,https://www.card-gorilla.com/card/detail/1209
BNK카드,BNK카드,https://www.card-gorilla.com/card/detail/1236
국민행복체크카드,국민행복체크카드,https://www.card-gorilla.com/card/detail/1324
메가쇼핑체크카드,메가쇼핑체크카드,https://www.card-gorilla.com/card/detail/1392
체크카드,신협 어부바 체크카드,https://www.card-gorilla.com/card/detail/1463
UNKNOWN,IBK 무직타이거 카드(신용),https://www.card-gorilla.com/card/detail/1487
UNKNOWN,IBK 무직타이거 카드(체크),https://www.card-gorilla.com/card/detail/1490
HAVE체크카드,올바른 NEW HAVE체크카드,https://www.card-gorilla.com/card/detail/1765
체크카드,Win.K 체크카드,https://www.card-gorilla.com/card/detail/1900
체크카드,부자되세요 더마일리지 체크카드,https://www.card-gorilla.com/card/detail/1903
체크카드,우체국 우리동네plus 체크카드,https://www.card-gorilla.com/card/detail/1907
체크카드,유안타 Stock+ 체크카드,https://www.card-gorilla.com/card/detail/1912
체크카드,모두모아 체크카드,https://www.card-gorilla.com/card/detail/1960
UNKNOWN,S1카드,https://www.card-gorilla.com/card/detail/1961
체크카드,Real Zero 체크카드,https://www.card-gorilla.com/card/detail/1963
UNKNOWN,KDB Choice 하이브리드 카드,https://www.card-gorilla.com/card/detail/1964
체크카드,SB 팝 플러스 체크카드,https://www.card-gorilla.com/card/detail/1979
내가그린카드,내가그린카드,https://www.card-gorilla.com/card/detail/1985
함께그린카드,함께그린카드,https://www.card-gorilla.com/card/detail/1988
꿀카드,꿀카드,https://www.card-gorilla.com/card/detail/2001
NH투자증권체크카드,NH올원 NH투자증권체크카드,https://www.card-gorilla.com/card/detail/2012
NH투자증권카드,NH올원 NH투자증권카드,https://www.card-gorilla.com/card/detail/2014
Syrup카드,IBK-Syrup카드[체크],https://www.card-gorilla.com/card/detail/2027
AMOREPACIFIC카드,NH올원 Shopping&AMOREPACIFIC카드,https://www.card-gorilla.com/card/detail/2036
다이소카드,참! 좋은 다이소카드(체크),https://www.card-gorilla.com/card/detail/2058
체크카드,청춘날다 체크카드,https://www.card-gorilla.com/card/detail/2073
체크카드,ON˟WE BARE BEARS 체크카드,https://www.card-gorilla.com/card/detail/2074
체크카드,WITH 체크카드,https://www.card-gorilla.com/card/detail/2075
체크카드,ON 체크카드,https://www.card-gorilla.com/card/detail/2077
체크카드,MINT 체크카드,https://www.card-gorilla.com/card/detail/2081
체크카드,MG Point 체크카드,https://www.card-gorilla.com/card/detail/2085
체크카드,MG Point2 체크카드,https://www.card-gorilla.com/card/detail/2086
체크카드,다원 체크카드,https://www.card-gorilla.com/card/detail/2092
체크카드,CREAM 체크카드,https://www.card-gorilla.com/card/detail/2095
체크카드,CREAM Hybrid 체크카드,https://www.card-gorilla.com/card/detail/2096
에코마일리지카드,에코마일리지카드(비씨),https://www.card-gorilla.com/card/detail/2099
마일리지카드,아시아나 마일리지카드,https://www.card-gorilla.com/card/detail/2118
Money카드,JEJUJINI Air Money카드,https://www.card-gorilla.com/card/detail/2127
PLATINUM카드,ON PLATINUM카드(스카이패스),https://www.card-gorilla.com/card/detail/2128
PLATINUM카드,ON PLATINUM카드(아시아나클럽),https://www.card-gorilla.com/card/detail/2130
PLATINUM카드,ON PLATINUM카드(포인트),https://www.card-gorilla.com/card/detail/2131
KCTV알뜰카드,KCTV알뜰카드,https://www.card-gorilla.com/card/detail/2148
체크카드,제주삼다수 체크카드,https://www.card-gorilla.com/card/detail/2165
더마일리지카드,부자되세요 더마일리지카드,https://www.card-gorilla.com/card/detail/2170
국민행복체크카드,국민행복체크카드,https://www.card-gorilla.com/card/detail/2173
제주그린체크카드,제주그린체크카드,https://www.card-gorilla.com/card/detail/2174
UNKNOWN,1st Link On 카드,https://www.card-gorilla.com/card/detail/2177
UNKNOWN,1st TRIPLE Platinum 카드,https://www.card-gorilla.com/card/detail/2180
