card_id,raw_text
49,"(특별적립) 국내형: 백화점 이용금액 1,000원당 (스카이패스) 1 마일리지 추가 적립"
49,"(특별적립) 국내형: 주유 이용금액 1,000원당 (스카이패스) 1 마일리지 추가 적립"
49,"(특별적립) 국내형: 커피 이용금액 1,000원당 (스카이패스) 1 마일리지 추가 적립"
49,"(특별적립) 국내형: 편의점 이용금액 1,000원당 (스카이패스) 1 마일리지 추가 적립"
49,"(특별적립) 국내형: 택시 이용금액 1,000원당 (스카이패스) 1 마일리지 추가 적립"
49,"(특별적립) 해외형: 해외 가맹점 및 해외 직접구매 이용건 1,000원당 (스카이패스) 1 마일리지 추가 적립"
49,2026 인기 대한항공 마일리지 적립 신용카드 비교 추천 BEST 4 (ft.마일리지 적립 꿀팁)
49,"[2026 인기 신용카드 리뷰] 전월실적 없이 대한항공 마일리지 무제한 적립, 삼성카드 앤 마일리지 플래티넘"
50,"1,000원당 1~5마일 적립 · S-OIL주유소 40/L 적립 · CGV 3,000원 할인"
50,"1,000원당 아시아나 1마일리지 적립"
50,S-OIL 리터당 40 보너스포인트 적립
50,아웃백스테이크하우스 10% 할인
50,"스타벅스 1,000원 결제일할인"
50,"메가박스, CGV, 인터파크 영화 3,000원 할인"
50,놀이공원 할인 서비스
50,백화점·할인점 2~3개월 무이자할부
51,"스타벅스 50% 할인 · 대중교통 10% 할인 · CGV, 롯데시네마 5,000원 할인"
51,대중교통·택시 10% 결제일할인
51,이동통신요금 10% 결제일할인
51,"CGV 및 롯데시네마 5,000원 결제일할인"
51,해외 1.3% 적립
51,"[2026 인기 신용카드 리뷰] 스타벅스 50% 할인을 내 맘대로, 삼성카드 taptap O"
51,현대카드ZERO Edition2(할인형)
52,"모든가맹점 1% 적립 · 모든주유소 2,000원 할인 · 모든영화관 5,000원 할인"
52,모든 가맹점 1% 빅포인트 적립
52,"모든 주유소 및 LPG 충전소 2,000원 결제일 할인"
52,"모든 영화관 5,000원 결제일 할인"
52,현대카드ZERO Edition2(할인형)
53,"1,000원당 1~5마일 적립 · 놀이공원 50% 할인 · 엔진오일교환 15,000원 할인"
53,"이용금액 1,000원당 아시아나 1~5마일리지 적립"
53,"S-OIL 주유소에서 휘발유, 경유, 등유 주유시 리터당 40보너스포인트 적립"
53,"스타벅스 1,000원 결제일 할인"
53,"메가박스, CGV, 무비존 영화 할인"
53,"놀이공원 자유이용권 50%, 워터파크 입장권 30% 현장할인"
53,"엔진오일 교환 시 15,000원 현장할인"
54,"1,000원당 스카이패스 1마일리지 기본적립 · 아웃백스테이크하우스 30,000원 결제일할인 · 1,000원당 스카이패스 1마일리지 추가적립"
54,[기본 적립] 모든 가맹점 스카이패스 1 마일리지 적립
54,[특별 적립] 옵션 적립처에 따라 스카이패스 2 마일리지 적립
54,"아웃백스테이크하우스 30,000원 결제일 할인 [전월 실적 50만원 이상]"
54,대한항공 마일리지 적립 신용카드 추천
55,"CU 1,500원당 200원 할인 · 배달의민족 2,000원 할인 · 대중교통 1,000원당 100원 할인"
55,"CU 1,500원당 200원 결제일할인"
55,"배달의민족 2,000원 결제일할인"
55,"대중교통 1,000원당 100원 결제일할인"
55,"음식점·주점 1,000원 결제일할인"
55,2026  배달앱 쿠팡이츠 & 배달의민족 할인 신용카드 추천 BEST 6
55,"여름이니까🎵 아이스커피🧊 그런데 편의점에서 통신사 할인만 받으시나요? 더 알뜰하게, 편의점 알짜카드 BEST5"
55,"군고구마, 호빵, 어묵 아직도 제 값 주고 먹어요? 편의점 할인카드 BEST 5"
56,"교육/할인점 1.5% 할인 · 모든영화관 10,000원 할인 · VIPS/계절밥상 20,000원 할인"
56,커피전문점 10% 결제일할인
56,"모든 영화관 5,000원 결제일할인"
56,"VIPS·계절밥상 20,000원 결제일할인"
56,모든 가맹점 기본 0.5% 청구할인
56,교육·할인점·이동통신·병원·약국 1.5% 결제일할인
56,놀이공원 할인 서비스
57,"영화 5,000원 할인 · 카페 10% 할인 · VIPS, 계절밥상 20,000원 할인"
57,"모든 영화관 5,000원 결제일할인"
57,커피전문점 10% 결제일할인
57,"VIPS·계절밥상 20,000원 결제일할인"
57,모든 가맹점 기본 0.5% 청구할인
57,음식점·주점·편의점·주유·택시 1.5% 결제일할인
57,놀이공원 자유이용권 50%·워터파크 입장권 30% 현장할인
57,"엔진오일 교환 시 20,000원 현장할인"
58,모든주유소 90원/L 할인 · 카카오드라이버 10% 할인 · 모든가맹점 0.5% 할인
58,모든 주유소에서 주유 시 리터당 90원 결제일할인
58,"삼성화재 자동차보험료, 엔진오일 교환, 카카오드라이버 할인"
58,모든 가맹점 기본 0.5% 결제일할인
58,"할인점, 소셜커머스, 커피전문점, 편의점, 영화 할인"
58,현대카드ZERO Edition2(할인형)
59,"[일상팩]커피전문점 30% 할인 · [일상팩]마켓컬리 20% 할인 · [여가팩]KTX/SRT 5,000원 할인"
59,여가패키지: 해외·여행 3% 결제일할인
59,일상패키지: 슈퍼마켓·프리미엄 아울렛 등 3% 결제일할인
59,일상패키지: 10대 커피전문점·제과점 30% 결제일할인
59,일상패키지: 음식점·신선식품 배송 20% 결제일할인
59,"일상패키지: 모든 영화관에서 6,000원 이상 결제 시 6,000원 결제일할인"
59,"일상패키지: 서점·인터파크 티켓·동물병원에서 건별 50,000원 이상 결제 시 10,000원 결제일할인"
59,"여가패키지: KTX, SRT 포함 철도 건별 30,000원 이상 결제 시 5,000원 결제일할인 (청구할인)"
59,캐시백
