benefit_id,card_id,min_amount,min_amount_source,category_id,group_name,benefit_type,rate,fixed_amount,unit_basis,unit_type,raw_text,classification_status
3086,2318,100000,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,,"내 소비생활의 중심 핀크계좌 + 핀크카드
AI핀고의정확한 소비 분석",NEEDS_AI_REVIEW
3087,2318,100000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,"디자인 선택의 즐거움 망설이다 품절주의!
핀크에만 있는 한정판 디자인",NEEDS_AI_REVIEW
3088,2322,0,CARD_LEVEL,17,대중교통,UNCLASSIFIED,,,,,"전국 버스, 지하철 사용 가능",NEEDS_AI_REVIEW
3089,2322,0,CARD_LEVEL,21,온라인쇼핑,UNCLASSIFIED,,,,,온라인 쇼핑몰 이용 가능,NEEDS_AI_REVIEW
3090,2323,0,CARD_LEVEL,17,대중교통,UNCLASSIFIED,,,,,교통카드 사용 가능,NEEDS_AI_REVIEW
3091,2324,300000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,원하는 플레이트 디자인 선택 가능,NEEDS_AI_REVIEW
3092,2327,0,CARD_LEVEL,16,프리미엄,UNCLASSIFIED,,,,,[티타늄 전용 서비스] Master 티타늄 공통서비스,NEEDS_AI_REVIEW
3093,2332,200000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,카드 디자인 선택 가능,NEEDS_AI_REVIEW
3094,2342,300000,CARD_LEVEL,18,카페,UNCLASSIFIED,,,,,투썸플레이스 추가 혜택,NEEDS_AI_REVIEW
3095,2342,300000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,카드 플레이트 선택 가능,NEEDS_AI_REVIEW
3096,2343,200000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,카드 플레이트 선택 가능,NEEDS_AI_REVIEW
3097,2349,300000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,내 마음대로 고르는 디자인,NEEDS_AI_REVIEW
3098,2352,0,CARD_LEVEL,6,기타,UNCLASSIFIED,,,,,GS POP서비스 제공,NEEDS_AI_REVIEW
3099,2353,0,CARD_LEVEL,35,골프,UNCLASSIFIED,,,,,[The Premium] 골프 서비스,NEEDS_AI_REVIEW
3100,2358,500000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,카드 디자인 소개,NEEDS_AI_REVIEW
3101,2359,300000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,카드 플레이트 선택 가능,NEEDS_AI_REVIEW
3102,2361,0,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,카드 플레이트 선택 가능,NEEDS_AI_REVIEW
3103,2364,400000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,카드디자인 소개,NEEDS_AI_REVIEW
3104,2369,300000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,플레이트 디자인 선택 가능,NEEDS_AI_REVIEW
3105,2371,0,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,카드 플레이트 선택 가능,NEEDS_AI_REVIEW
3106,2376,0,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,내 마음대로 고르는 디자인!,NEEDS_AI_REVIEW
3107,2377,0,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,플레이트 디자인 선택 가능,NEEDS_AI_REVIEW
3108,2378,300000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,플레이트 디자인 선택 가능,NEEDS_AI_REVIEW
3109,2379,200000,CARD_LEVEL,13,선택형,UNCLASSIFIED,,,,,카드 플레이트 선택 가능,NEEDS_AI_REVIEW
3110,2385,500000,CARD_LEVEL,28,프리미엄 서비스,UNCLASSIFIED,,,,,몽블랑 에디션 패키지,NEEDS_AI_REVIEW
