card_type,category_main,card_name,source_url,raw_text_snippet
CREDIT,교통자동차,카라이프 삼성카드 DISCOUNT+,https://www.card-gorilla.com/card/detail/58,"카라이프 삼성카드 DISCOUNT+ | |카라이프 삼성카드 DISCOUNT+|카라이프 삼성카드 DISCOUNT+ · 삼성카드|모든주유소 90원/L 할인 · 카카오드라이버 10% 할인 · 모든가맹점 0.5% 할인|국내전용 [49,000]원 / 해외겸용 [49,000]원 · 50만원 이상 · Mastercard|주유|모든 주유소에서 주유 시 리터당 90원 결제"
CREDIT,여행항공,삼성카드 taptap I,https://www.card-gorilla.com/card/detail/59,"삼성카드 taptap I | |삼성카드 taptap I|삼성카드 taptap I · 삼성카드|[일상팩]커피전문점 30% 할인 · [일상팩]마켓컬리 20% 할인 · [여가팩]KTX/SRT 5,000원 할인|국내전용 [49,000]원 / 해외겸용 [49,000]원 · 50만원 이상 · Mastercard|선택형|라이프스타일 패키지(옵션 패키지 중 택1)|더라운"
CREDIT,교통자동차,스카이패스 삼성아멕스카드,https://www.card-gorilla.com/card/detail/61,"스카이패스 삼성아멕스카드 | |스카이패스 삼성아멕스카드|스카이패스 삼성아멕스카드 · 삼성카드|국내 1,500원당 1마일 적립 · 해외 1,500원당 2마일 적립 · S-OIL 40포인트/L 적립|해외전용 [20,000]원 · 없음 · AMEX|대한항공|국내외 이용금액 1,500원당 스카이패스 1~2마일리지 적립|주유|S-OIL 주유소 주유 시 리터당 40 "
CHECK,문화여가,삼성페이 삼성카드 taptap,https://www.card-gorilla.com/card/detail/63,"삼성페이 삼성카드 taptap | |삼성페이 삼성카드 taptap|삼성페이 삼성카드 taptap · 삼성카드|삼성페이 10% 할인 · 국내외가맹점 0.3% 할인 · 통신요금 10% 할인|국내전용 [10,000]원 / 해외겸용 [10,000]원 · 30만원 이상 · Mastercard|삼성페이|삼성 페이 10% 결제일할인|모든가맹점|국내외 가맹점 0.3% 결"
CREDIT,쇼핑,신세계이마트 삼성카드7,https://www.card-gorilla.com/card/detail/64,"신세계이마트 삼성카드7 | |신세계이마트 삼성카드7|신세계이마트 삼성카드7 · 삼성카드|신세계백화점 5% 할인 · 이마트 6,000원 할인 · 국내가맹점 0.5~3% 적립|국내전용 [18,000]원 / 해외겸용 [20,000]원 · 30만원 이상 · Mastercard|쇼핑|신세계백화점·이마트 제휴 혜택|적립|국내 가맹점, 주유, 삼성전자 등 빅포인트 적립"
CREDIT,생활,트레이더스신세계 삼성카드,https://www.card-gorilla.com/card/detail/72,"트레이더스신세계 삼성카드 | |트레이더스신세계 삼성카드|트레이더스신세계 삼성카드 · 삼성카드|트레이더스 1~5% 할인 · 학원/서점/병원 5% 할인 · SKT/스타벅스 5% 할인|국내전용 [15,000]원 / 해외겸용 [15,000]원 · 40만원 이상 · Mastercard|대형마트|트레이더스 결제일할인|교육/육아|학원·서점·학습지·인터넷강의 5% 결제일"
CREDIT,외식카페,All For Me카드,https://www.card-gorilla.com/card/detail/74,"All For Me카드 | |All For Me카드|All For Me카드 · 우리카드|주요 7대 업종 10~5% 할인 · 영화 3,000원 할인 · 커피 20% 할인|해외겸용 [10,000]원 · 30만원 이상 · VISA · Mastercard · UnionPay|생활|주요 7대 업종 10~5% 청구할인|영화|전국 영화관 3,000원 청구할인|카페|커피"
CREDIT,외식카페,위비멤버스카드,https://www.card-gorilla.com/card/detail/77,"위비멤버스카드 | |위비멤버스카드|위비멤버스카드 · 우리카드|국내가맹점 0.7% 적립 · 쇼핑업종 1.5~2% 적립 · 치킨,피자 10% 할인|국내전용 [10,000]원 / 해외겸용 [12,000]원 · 30만원 이상 · Mastercard · BC|모든가맹점|국내 가맹점 0.7% 위비꿀머니 적립|쇼핑|대형할인점, 면세점 1.5% 및 위비마켓 2% 위비꿀머"
CHECK,외식카페,썸(SUM) 페이 카드,https://www.card-gorilla.com/card/detail/80,"썸(SUM) 페이 카드 | |썸(SUM) 페이 카드|썸(SUM) 페이 카드 · 우리카드|PAY 결제 7% 할인 · PAY 외 결제 5% 할인 · 영화 3,000원 할인|해외겸용 [10,000]원 · 30만원 이상 · Mastercard · UnionPay|간편결제|PAY(간편결제 서비스) 결제 시 7% 할인|생활|PAY 외 결제 시 5% 할인|영화|전국 영"
CREDIT,외식카페,위메프 우리카드,https://www.card-gorilla.com/card/detail/81,"위메프 우리카드 | |위메프 우리카드|위메프 우리카드 · 우리카드|위메프 5% 적립 · 스타벅스 50% 할인 · 편의점 10% 할인|국내전용 [10,000]원 / 해외겸용 [12,000]원 · 30만원 이상 · Mastercard · BC · UnionPay|소셜커머스|위메프 포인트 5% 적립|카페|스타벅스(사이렌오더 포함) 50% 청구 할인|편의점|편의점"
CHECK,여행항공,우리 XGOLF 카드,https://www.card-gorilla.com/card/detail/82,"우리 XGOLF 카드 | |우리 XGOLF 카드|우리 XGOLF 카드 · 우리카드|골프업종 3% 적립 · 해외,면세점,여행사,항공사 1.8% 적립 · 병원,동물병원 1.5% 적립|국내전용 [13,000]원 / 해외겸용 [15,000]원 · 30만원 이상 · Mastercard · BC|쇼핑|Well Living: 백화점, 온라인 쇼핑, 대형할인점 모아포인트"
CREDIT,외식카페,ONLY 나만의카드,https://www.card-gorilla.com/card/detail/83,"ONLY 나만의카드 | |ONLY 나만의카드|ONLY 나만의카드 · 우리카드|자동납부 10% 할인 · 대형할인점 2,000원 할인 · 스타벅스 10% 할인|국내전용 [13,000]원 / 해외겸용 [15,000]원 · 30만원 이상 · Mastercard · BC|[차트 in 차트] 고릴라차트 속 ‘월납요금’ 할인카드 TOP5|월납요금 줄여주는 관리비 할인카"
CHECK,외식카페,카드의정석 POINT,https://www.card-gorilla.com/card/detail/84,"카드의정석 POINT | |카드의정석 POINT|카드의정석 POINT · 우리카드|모든가맹점 0.8% 적립 · 교통,통신,전기차충전 5% 적립 · 간편결제 3% 추가적립|국내전용 [10,000]원 / 해외겸용 [12,000]원 · 30만원 이상 · VISA · Mastercard · BC|모든가맹점|모아포인트 0.8%~5% 적립|통신|이동통신 업종 모아포인"
CREDIT,생활,DA@카드의정석,https://www.card-gorilla.com/card/detail/87,"DA@카드의정석 | |DA@카드의정석|DA@카드의정석 · 우리카드|모든가맹점 0.8% 할인 · 생활업종 1.3% 할인 · 국내공항라운지 연 2회 무료(전월실적 30만원)|국내전용 [5,000]원 / 해외겸용 [10,000]원 · 없음 · Mastercard · BC|모든가맹점|국내외 가맹점 1.3%~0.8% 청구할인|공항라운지/PP|인천/김포/김해공항라운지"
CREDIT,외식카페,D4@카드의정석,https://www.card-gorilla.com/card/detail/88,"D4@카드의정석 | |D4@카드의정석|D4@카드의정석 · 우리카드|대중교통 33% 할인 · 커피 55% 할인 · 영화관 5,500원 할인|국내전용 [9,000]원 / 해외겸용 [10,000]원 · 30만원 이상 · Mastercard · BC|교통|대중교통 33% 청구할인|카페|커피 4대 브랜드 통합 (스타벅스, 투썸플레이스, 커피빈, 폴바셋) 55% 청구"
