source_id,card_name,issuer_name_raw,source_url
675,Air Money(에어머니)체크,NH농협카드,https://www.card-gorilla.com/card/detail/675
676,올리 POINT 체크,NH농협카드,https://www.card-gorilla.com/card/detail/676
686,카카오뱅크 mini카드,mini카드,https://www.card-gorilla.com/card/detail/686
723,IBK무민카드(신용),IBK무민카드,https://www.card-gorilla.com/card/detail/723
748,이지캐시백,체크카드,https://www.card-gorilla.com/card/detail/748
767,go 캐시백 글로벌 하이브리드,UNKNOWN,https://www.card-gorilla.com/card/detail/767
772,BLISS.5 카드(마일리지),UNKNOWN,https://www.card-gorilla.com/card/detail/772
773,BLISS.5 카드(포인트),UNKNOWN,https://www.card-gorilla.com/card/detail/773
781,IBK hi 카드,UNKNOWN,https://www.card-gorilla.com/card/detail/781
794,참! 좋은 kt wiz 카드[체크],UNKNOWN,https://www.card-gorilla.com/card/detail/794
807,일상의 기쁨 Dream 체크카드,체크카드,https://www.card-gorilla.com/card/detail/807
810,현대백화점 체크카드,체크카드,https://www.card-gorilla.com/card/detail/810
812,국민행복카드 체크카드,국민행복카드,https://www.card-gorilla.com/card/detail/812
814,해피포인트 DGB체크카드,DGB체크카드,https://www.card-gorilla.com/card/detail/814
819,카카오페이 체크카드,체크카드,https://www.card-gorilla.com/card/detail/819
823,NEW현대백화점체크카드,NEW현대백화점체크카드,https://www.card-gorilla.com/card/detail/823
834,국민행복카드 신용카드,국민행복카드,https://www.card-gorilla.com/card/detail/834
838,올레 Super DC 대구은행카드,대구은행카드,https://www.card-gorilla.com/card/detail/838
864,일년의 설렘카드(모바일전용),설렘카드,https://www.card-gorilla.com/card/detail/864
879,자연드림 IBK카드,IBK카드,https://www.card-gorilla.com/card/detail/879
920,skylife Ultra IBK카드,IBK카드,https://www.card-gorilla.com/card/detail/920
931,용인시민카드(신용),용인시민카드,https://www.card-gorilla.com/card/detail/931
948,여행스케치 아시아나클럽 플래티늄카드,플래티늄카드,https://www.card-gorilla.com/card/detail/948
950,1st카드 (포인트 적립형),st카드,https://www.card-gorilla.com/card/detail/950
984,부자되세요 The Oil카드,Oil카드,https://www.card-gorilla.com/card/detail/984
1039,카카오페이 체크카드,체크카드,https://www.card-gorilla.com/card/detail/1039
1061,Real? Real! 2 카드,UNKNOWN,https://www.card-gorilla.com/card/detail/1061
1170,이사배 카드,기쁨카드,https://www.card-gorilla.com/card/detail/1170
1209,BNK 프렌즈 신용카드,신용카드,https://www.card-gorilla.com/card/detail/1209
1236,BNK카드,BNK카드,https://www.card-gorilla.com/card/detail/1236
1324,국민행복체크카드,국민행복체크카드,https://www.card-gorilla.com/card/detail/1324
1392,메가쇼핑체크카드,메가쇼핑체크카드,https://www.card-gorilla.com/card/detail/1392
1463,신협 어부바 체크카드,체크카드,https://www.card-gorilla.com/card/detail/1463
1487,IBK 무직타이거 카드(신용),UNKNOWN,https://www.card-gorilla.com/card/detail/1487
1490,IBK 무직타이거 카드(체크),UNKNOWN,https://www.card-gorilla.com/card/detail/1490
1765,올바른 NEW HAVE체크카드,HAVE체크카드,https://www.card-gorilla.com/card/detail/1765
1900,Win.K 체크카드,체크카드,https://www.card-gorilla.com/card/detail/1900
1903,부자되세요 더마일리지 체크카드,체크카드,https://www.card-gorilla.com/card/detail/1903
1907,우체국 우리동네plus 체크카드,체크카드,https://www.card-gorilla.com/card/detail/1907
1912,유안타 Stock+ 체크카드,체크카드,https://www.card-gorilla.com/card/detail/1912
1960,모두모아 체크카드,체크카드,https://www.card-gorilla.com/card/detail/1960
1961,S1카드,UNKNOWN,https://www.card-gorilla.com/card/detail/1961
1963,Real Zero 체크카드,체크카드,https://www.card-gorilla.com/card/detail/1963
1964,KDB Choice 하이브리드 카드,UNKNOWN,https://www.card-gorilla.com/card/detail/1964
1979,SB 팝 플러스 체크카드,체크카드,https://www.card-gorilla.com/card/detail/1979
1985,내가그린카드,내가그린카드,https://www.card-gorilla.com/card/detail/1985
1988,함께그린카드,함께그린카드,https://www.card-gorilla.com/card/detail/1988
2001,꿀카드,꿀카드,https://www.card-gorilla.com/card/detail/2001
2012,NH올원 NH투자증권체크카드,NH투자증권체크카드,https://www.card-gorilla.com/card/detail/2012
2014,NH올원 NH투자증권카드,NH투자증권카드,https://www.card-gorilla.com/card/detail/2014
2027,IBK-Syrup카드[체크],Syrup카드,https://www.card-gorilla.com/card/detail/2027
2036,NH올원 Shopping&AMOREPACIFIC카드,AMOREPACIFIC카드,https://www.card-gorilla.com/card/detail/2036
2058,참! 좋은 다이소카드(체크),다이소카드,https://www.card-gorilla.com/card/detail/2058
2073,청춘날다 체크카드,체크카드,https://www.card-gorilla.com/card/detail/2073
2074,ON˟WE BARE BEARS 체크카드,체크카드,https://www.card-gorilla.com/card/detail/2074
2075,WITH 체크카드,체크카드,https://www.card-gorilla.com/card/detail/2075
2077,ON 체크카드,체크카드,https://www.card-gorilla.com/card/detail/2077
2081,MINT 체크카드,체크카드,https://www.card-gorilla.com/card/detail/2081
2085,MG Point 체크카드,체크카드,https://www.card-gorilla.com/card/detail/2085
2086,MG Point2 체크카드,체크카드,https://www.card-gorilla.com/card/detail/2086
2092,다원 체크카드,체크카드,https://www.card-gorilla.com/card/detail/2092
2095,CREAM 체크카드,체크카드,https://www.card-gorilla.com/card/detail/2095
