source_url,condition_id,group_name,raw_text,original_category,new_category,action
https://www.card-gorilla.com/card/detail/116,68,선택형,홀릭's Choice (쇼핑홀릭 또는 푸드홀릭 중 택1),기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/121,70,기타,"연간 이용에 따른 다담리워드 서비스,
함께하는 기부 서비스",기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/130,76,바우처,"쿠폰서비스
(카드 발급 첫해:100만원이상 이용 시, 다음해 이후:전년도 1000만원 이상 이용 시)",기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/130,76,프리미엄,BeV Ⅴ카드 공통 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/131,77,바우처,"쿠폰서비스
(카드 발급 첫해:100만원이상 이용 시, 다음해 이후:전년도 1000만원 이상 이용 시)",기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/131,77,프리미엄,BeV Ⅴ카드 공통 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/133,79,바우처,쿠폰서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/133,79,프리미엄,BeV Ⅲ카드 우대 서비스,기타,무료서비스,RECLASSIFIED
https://www.card-gorilla.com/card/detail/143,87,APP,실물 없는 모바일 단독카드,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/144,88,APP,실물 없는 모바일 단독카드,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/145,89,APP,실물 없는 모바일 단독카드,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/156,93,은행사,금융 수수료 면제,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/156,93,기타,기타서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/167,98,프리미엄,프리미엄 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/174,99,국민행복,"임신출산, 보육료/유아학비 등 지원",기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/174,99,멤버십포인트,그린카드 멤버십 서비스 (공통 서비스),기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/174,99,기타,공통서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/175,100,멤버십포인트,"제휴서비스(OK Cashbag, GS&Point, POP)",기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/199,110,NEW 씨티 클리어,씨티카드,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/201,112,무이자할부,롯데백화점 12개월 할부서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/201,112,멤버십포인트,L.POINT,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/207,117,기타,경차 유류세 환급,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/227,121,멤버십포인트,SK멤버십 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/227,121,프리미엄 서비스,브랜드 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/227,121,기타,"면세점/여행 관련 서비스,
하나은행 결제 계좌 고객 우대 서비스",기타,무료서비스,RECLASSIFIED
https://www.card-gorilla.com/card/detail/231,123,기타,하나멤버스 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/232,124,기타,하나멤버스 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/234,125,기타,하나멤버스 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/237,126,프리미엄 서비스,옵션서비스(프리미엄 부가서비스),기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/281,144,금융,수수료 우대,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/284,146,은행사,주거래Package,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/286,147,선택형,플레이트 디자인 선택 가능,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/286,147,프리미엄 서비스,Master 플래티늄 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/294,148,금융,금융 우대 서비스,기타,무료서비스,RECLASSIFIED
https://www.card-gorilla.com/card/detail/303,153,자동차,경차 유류세 환급 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/309,156,NU 오하쳌(오늘하루체크),우리카드,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/313,159,수수료우대,[해외서비스] 해외이용수수료 면제,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/315,160,기타,월간 통합 캐쉬백 한도,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/322,165,멤버십포인트,그린카드 멤버십 혜택,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/323,166,국민행복,국민행복카드란?,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/323,166,병원/약국,for Baby Service [ A-TYPE ],기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/323,166,학원,for Children Service [ B-Type ],기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/323,166,멤버십포인트,for Green Life Service [ C-Type ],기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/323,166,기타,공통서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/325,168,바우처,"GIFT VOUCHER (연 1회, 택1회)",기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/326,169,기타,공통서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/340,181,금융,금융수수료 면제 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/342,183,은행사,금융수수료 면제 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/344,185,아이행복,아이행복카드란?,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/347,188,패밀리레스토랑,아웃백·VIPS·TGIF·세븐스프링스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/347,188,은행사,금융수수료 면제 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/348,189,금융,금융수수료 면제 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/349,190,은행사,금융수수료 면제 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/357,196,백화점,AK특화 서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/359,197,기타,GS리테일POP서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/364,198,국민행복,국민행복카드란?,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/364,198,선택형,"임신출산, 보육료/유아학비 등 지원",기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/364,198,멤버십포인트,그린카드 멤버십 서비스 (공통서비스),기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
https://www.card-gorilla.com/card/detail/364,198,기타,공통서비스,기타,기타,KEPT_AS_GITA_NO_KEYWORD_MATCH
