card_id,min_amount,min_amount_source,category_id,group_name,benefit_type,rate,fixed_amount,unit_basis,unit_type,raw_text
561,200000,CARD_LEVEL,4,금융,FREE_SERVICE,,,,,금융수수료 면제 서비스
561,200000,CARD_LEVEL,19,편의점,RATE_DISCOUNT,5.0,,,,GS25 5% 환급할인
568,0,CARD_LEVEL,10,영화,FIXED_AMOUNT,,3000,,,"CGV 및 롯데시네마 3,000원 결제일할인"
568,0,CARD_LEVEL,14,생활,FREE_SERVICE,,,,,부가세환급 편의지원서비스 및 전자세금계산서 월 250건 무료 제공
578,0,CARD_LEVEL,4,금융,RATE_DISCOUNT,5.0,,,,"금융포인트 0.5~5% 적립
KB증권 매매수수료의 5% 금융포인트 적립"
580,500000,CARD_LEVEL,21,온라인쇼핑,RATE_DISCOUNT,5.0,,,,[Easy 서비스] 인터넷쇼핑몰 5% 적립
580,500000,CARD_LEVEL,22,대형마트,RATE_DISCOUNT,5.0,,,,[Easy 서비스] 대형마트 5% 적립
580,500000,CARD_LEVEL,3,주유,RATE_DISCOUNT,5.0,,,,[Easy 서비스] 주유소/충전소 5% 적립
580,500000,CARD_LEVEL,17,대중교통,RATE_DISCOUNT,5.0,,,,[Basic 서비스] 대중교통 5% 적립
580,500000,CARD_LEVEL,5,통신,RATE_DISCOUNT,5.0,,,,[Basic 서비스] 이동통신 5% 적립
580,500000,CARD_LEVEL,13,선택형,RATE_DISCOUNT,5.0,,,,[Pick 서비스] 선호영역(택1) 5% 적립
581,400000,CARD_LEVEL,2,모든가맹점,RATE_DISCOUNT,0.5,,,,국내외 가맹점 0.5% 결제일 할인
582,300000,CARD_LEVEL,28,프리미엄 서비스,FREE_SERVICE,,,,,"공항라운지(The Lounge Members) 무료 이용 서비스,
Mastercard Platinum 서비스"
587,300000,CARD_LEVEL,21,온라인쇼핑,RATE_DISCOUNT,10.0,,,,온라인 쇼핑 10% 적립
587,300000,CARD_LEVEL,1,쇼핑,RATE_DISCOUNT,5.0,,,,생활 쇼핑 5% 적립
589,0,CARD_LEVEL,26,해외,RATE_DISCOUNT,2.0,,,,해외 모든 가맹점 2% 토스머니 적립 (월 1만 토스머니 한도)
592,0,CARD_LEVEL,24,마트/편의점,RATE_DISCOUNT,1.0,,,,조건 없이 마트/편의점 1% 할인
592,0,CARD_LEVEL,14,생활,RATE_DISCOUNT,5.0,,,,"커피/교통 5% 할인
쇼핑/배달앱 3% 할인"
594,300000,CARD_LEVEL,10,영화,FIXED_AMOUNT,,3000,,,"전국 영화관 3,000원 청구할인"
597,300000,CARD_LEVEL,2,모든가맹점,RATE_DISCOUNT,0.2,,,,국내가맹점 이용액 0.2% 위비꿀머니(모아포인트) 적립
597,300000,CARD_LEVEL,11,테마파크,RATE_DISCOUNT,50.0,,,,주요 놀이공원 자유이용권 50% 현장할인
598,300000,CARD_LEVEL,2,모든가맹점,RATE_DISCOUNT,0.2,,,,국내가맹점 이용액 0.2% 위비꿀머니(모아포인트) 적립
598,300000,CARD_LEVEL,11,테마파크,RATE_DISCOUNT,50.0,,,,주요 놀이공원 자유이용권 50% 현장할인
599,300000,CARD_LEVEL,2,모든가맹점,RATE_DISCOUNT,0.1,,,,국내가맹점 이용액 0.1% 우리WON꿀머니(모아포인트) 적립
599,300000,CARD_LEVEL,11,테마파크,RATE_DISCOUNT,50.0,,,,주요 놀이공원 자유이용권 50% 현장할인
601,0,CARD_LEVEL,18,카페,FIXED_AMOUNT,,500,,,"스타벅스, 폴바셋, 이디야 결제 건당 500원 할인"
602,0,CARD_LEVEL,16,프리미엄,FREE_SERVICE,,,,,국내 특급호텔 및 공항 무료 발레파킹서비스
